centre_id,centre_name
01.051.11.01.3,AIT KAMRA
01.227.03.05.3,ANJRA
01.405.07.15.3,SIDI REDOUANE
035510101,AKKA
035510103,FOUM EL HISSEN
035510105,FOUM ZGUID
035510107,TATA
0400105093,DRARGUA
041630103,AIT BAHA
041630111,BIOUGRA
0416305113,BELFAA
0416305213,MASSA
0416307013,AIT AMIRA
0416307273,SIDI BIBI
0427305173,LQLIAA
0427305273,TEMSIA
045410101,AIT IAZZA
045410103,EL GUERDANE
045410105,IGHERM
045410107,OULAD BERHIL
045410109,OULAD TEIMA
045410111,TALIOUINE
045410113,TAROUDANNT
0454104073,AOULOUZ
045810105,TAFRAOUT
045810107,TIZNIT
054810109,OUEZZANE
0548107033,AIN DORIJ
081130101,AHFIR
081130105,AIN ERRAGADA
081130107,AKLIM
081130109,BERKANE
081130125,SAIDIA
081130129,SIDI SLIMANE CHRAA
0811303113,MADAGH
082510101,BOUARFA
082510103,FIGUIG
0825103033,BNI TAJJIT
0825103053,BOUANANE
0825103113,TALSSINT
0825105073,TENDRARA
082750103,AIN BENI MATHAR
082750117,JERADA
082750135,TOUISSIT
0827503153,BOUBKER
0827503213,OUED EL HEIMER
083810101,AL AAROUI
083810103,BENI NSAR
083810105,NADOR
083810107,ZAIO
083810109,ZEGANGAN
083810307,DAR EL KEBDANI
0838103093,DRIOUCH
0838105033,BNI CHIKER
0838105193,SELOUANE
0838107053,KARIAT AREKMANE
0838107153,RAS EL MA
0838107173,TIZTOUTINE
0838109033,BEN TAIEB
0838109133,MIDAR
0838109213,TAFERSIT
0838109253,KEROUNA
0838109293,KASSITA
084110111,BENI DRAR
084110119,NAIMA
084110123,OUJDA
085330113,DEBDOU
085330115,EL AIOUN
085330133,TAOURIRT
150510101,AL HOCEIMA
150510103,BNI BOUAYACH
150510105,IMZOUREN
150510107,TARGUIST
1505105033,AJDIR ALHOCEIMA
1505105034,SIDI BOUAFIF
1505105093,BNI HADIFA
1505105133,TAMASSINT
1505107133,ISSAGUEN
155610103,GUERCIF
161510101,CHEFCHAOUEN
1615103033,BAB BERRED
1615103173,EL JEBHA
1615105013,BAB TAZA
1615109053,BRIKCHA
1615109093,MOQRISSAT
1615109113,ZOUMI
163310101,KSAR EL KEBIR
163310103,LARACHE
1633105113,KHMIS SAHEL
1633107053,LAOUAMRA
1651103073,DAR CHAOUI
1651103133,TNINE S  YAMANI
165710107,OUED LAOU
1657103093,KARIA JBEL LEHBIB
1657105173,DAR BNI KARRICH
1M1B49,GERANCE HMAR LAGLALCHA
1M1B59,GERANCE SIDI MOUSSA LHAMRI
1M1B79,GERANCE AIT ABDELLAH
1M1D29,GERANCE SIDI BOUMOUSSA
1M2A35,DOUARS MASSA
1M2A45,DOUARS AIT MILK
1M2A49,GERANCE AIT MILK
1M2B25,DOUARS AIT BAHA
1M2B39,GERANCE IDAOUGNIDIF
1M3C19,GERANCE TALAINT
1M3C59,GERANCE LARBAA SAHEL 
1M3C69,GERANCE AGLOU
1M3C75,DOUARS AVAL TIZNIT 
1M3D29,GERANCE ZAOUIYATE SIDI AHMED OU MOUSSA
1M3D35,DOUARS TIGHMI
1M3D39,GERANCE TIGHMI
1M3D49,GERANCE TIZOUGHRANE 
1M3D59,GERANCE ANZI
1M3D69,GERANCE AMMELNE
1M3E19,GERANCE RAS MOUKA
1M3E25,DOUARS AMONT TIZNIT
1M3E39,GERANCE EL MAADAR EL KABIR
1M5A29,GERANCE ISSAFEN
1M5B29,GERANCE ABDELLAH BEN M BAREK
1M5C29,GERANCE TISSINT
1M5C39,GERANCE ALLOUGOUM
1M5C49,GERANCE AKKA IGHANE
1S2A15,DOUARS DRARGA
1S2A35,DOUARS AMSKROUD
1S2A39,GERANCE AMSKROUD
1S2C25,DOUARS IMMOUZZER IDA OUTANAN
1S2C29,GERANCE IMOUZZER IDA OUTANAN
1S2C45,DOUARS IMSSOUANE
1S2C49,GERANCE IMSSOUANE
1S2C55,DOUARS TAMRI
1S2C59,GERANCE TAMRI
1S2C65,DOUARS TAGHAZOUT
1S2C69,GERANCE TAGHAZOUT
6M1A39,GERANCE BNI GUIL
6M1B49,GERANCE AIN CHAIR
6M2A39,GERANCE TSAFT
6M2A49,GERANCE AZLAF
6M2B19,GERANCE TROUGOUT
6M2D29,GERANCE AIN ZOHRA
6M3A29,GERANCE MRIJA
6M3A39,GERANCE OULED GHZIEL
6M3A49,GERANCE BENI MATHAR
6M3A59,GERANCE OULED SIDI ABDELHAKEM (DOGHMANIA)
6M3B49,GERANCE RAS OUSFOUR
6M3B59,GERANCE TIOULI
6M3C29,GERANCE GUENFOUDA
6M3C39,GERANCE LAAOUINATE
6M4A25,DOUARS TADDART
6M4A29,GERANCE TADDART
6M4A39,GERANCE MEZGUITEM
6S1A29,GERANCE GTITER
6S1A39,GERANCE AHL OUED ZA
6S1C29,GERANCE AIN SFA
6S1C39,GERANCE BSARA
6S1C49,GERANCE AHL ANGAD
6S1C59,GERANCE BNI KHALED
6S1D19,GERANCE SIDI MOUSSA LEMHAYA
6S1D39,GERANCE ISLY
6S1D49,GERANCE SIDI BOULENOIR
6S1E25,DOUARS MELG EL OUIDANE
6S1E29,GERANCE MELG EL OUIDANE
6S1E39,GERANCE TANCHERFI
6S1E49,GERANCE OULED MHAMED
6S1E59,GERANCE EL ATEF
6S1E69,GERANCE SIDI ALI BELKASSEM
6S1E79,GERANCE SIDI LAHCEN
6S1F15,DOUARS AIN LEHJER
6S1F19,GERANCE AIN LEHJER
6S1F25,DOUARS MACHRAA HAMMADI
6S1F29,GERANCE MACHRAA HAMMADI
6S1F39,GERANCE MESTEGMER
6S2B18,CENTRE TZAIST
6S2C28,CENTRE MRISS
6S2C35,DOUARS AGHBAL
6S2C39,GERANCE AGHBAL
6S2D29,GERANCE OULED MANSOUR
6S2E25,DOUARS MADAGH
6S2E35,DOUARS LAATAMNA
6S2E39,GERANCE LAATAMNA
6S2F25,DOUARS TAFOUGHALT
6S2F29,GERANCE TAFOUGHALT
6S2F35,DOUARS S.BOUHRIA
6S2F39,GERANCE S. BOUHRIA
6S2F49,GERANCE RISLANE
6S3A25,DOUARS RAS EL MA
6S3A39,GERANCE HASSI BERKANE
6S3B15,DOUARS AL AAROUI
6S3B39,GERANCE BNI OUKKIL
6S3C35,DOUARS TAOUIMA
6S3D15,DOUARS BNI NSAR
6S3E15,DOUARS SELOUANE
6S3E25,DOUARS KARIAT AREKMANE
6S3E39,GERANCE OULED SETTOUT
6S3F39,GERANCE IAAZZANENE
6S3F49,GERANCE BNI SIDEL JBEL
6S3F59,GERANCE BNI SIDEL LOUTA
6S3F69,GERANCE IKSANE
GA04001273,GRAND AGADIR
GA16001,TANGER
GA16002,ASSILAH
GA16571,TETOUAN+CENTRES LIÉS
NM1A19,GERANCE TATOFT
NM1A29,GERANCE BOUJEDIANE
NM1A35,DOUARS ZOUADA (ASS MY SMAIL)
NM1A39,GERANCE ZOUADA
NM1A49,GERANCE OULED OUCHIH
NM1A59,GERANCE KSAR BJIR
NM1A69,GERANCE SOUK TOLBA
NM1A79,GERANCE SOUAKEN
NM1A89,GERANCE RISSANA JANOUBIA
NM1A99,GERANCE SOUK EL QOLLA
NM1B59,GERANCE AZINATE
NM1D19,GERANCE LARBAA AYACHA
NM1D49,GERANCE SAHEL CHAMALI
NM1D59,GERANCE MOULAY ABDESLAM BEN M'CHICH
NM1D69,GERANCE RISSANA CHAMALIA ET DOUARS
NM1D89,GERANCE BNI AROUSS ET DOUARS
NM1D99,GERANCE BNI GARFETT
NM2C19,GERANCE KAA ASRAS
NM2C39,GERANCE STIHAT
NM2C49,GERANCE BOUHMED
NM2C59,GERANCE TARGHA
NM2C69,GERANCE AMTER
NM2C79,GERANCE TASSIFT
NM2D39,GERANCE BNI RZINE
NM2D49,GERANCE FIFI
NM2D59,GERANCE HAD LAGHDIR
NM2D69,GERANCE TANQOUB
NM2D79,GERANCE DERDARA
NM2E15,DOUARS ZOUMI
NM2E35,DOUARS BRIKCHA
NM2E45,DOUARS AIN BEIDA
NM2E49,GERANCE AIN BEIDA
NM2E55,DOUARS MASMOUDA (M'ZERFOUN)
NM2E59,GERANCE MASMOUDA
NM2E65,DOUARS ASJEN
NM2E69,GERANCE ASJEN
NM2F00,GERANCE MZEFROUN
NM2F15,DOUARS SIDI REDOUANE (BNI QUOLLA)
NM2F25,DOUARS TEROUAL (ZGHIRA)
NM2F29,GERANCE TEROUAL
NM2F35,DOUARS AIN DORRIJ (LAMJAARA)
NM2F49,GERANCE SIDI BOUSBER
NM3C65,DOUARS OUNNANA
NM3C69,GERANCE OUNNANA
NM4A19,GERANCE KSAR SGHIR
NM4A29,GERANCE KSAR MAJAZ
NM4A39,GERANCE MELLOUSSA
NM4A49,GERANCE JOUAMAA
NM4B19,GERANCE KHMISS ANJRA
NM4B29,GERANCE SOUK KDIM
NM4B39,GERANCE SAHTRYINE
NM4C29,GERANCE EL HAMRA
NM4C39,GERANCE ALLEYINE
NM5C29,GERANCE CHEKRANE
NM5C39,GERANCE TIFRAOUINE
NM5C49,GERANCE MNOUD
NM5D29,GERANCE SIDI BOUTMIM
NM5D39,GERANCE BNI BOUFRAH
NM5D49,GERANCE TORRES KALAIRIS
NM5D59,GERANCE SNADA
NM5D69,GERANCE BENI ABDELLAH
NM5D79,GERANCE ZERKAT
NM5D89,GERANCE BENI GMIL
NM5D99,GERANCE BENI AMMART
NM5DA9,GERANCE ROUADI
NM5F29,GERANCE TLET KETEMA
NM5F39,GERANCE MY AHMED CHRIF
NM5G25,DOUARS IZEMMOUREN
NM5G29,GERANCE IZEMMOUREN
NM5G69,GERANCE LOUTA
NM5G79,GERANCE AZGHAR
