id_oper,id_2024,id_2014,id_2004,pop_2024,pop_2014,pop_2004
150510103,01.051.01.03,01.051.01.03,150510103,20013.0,18271.0,15497.0
150510105,01.051.01.05,01.051.01.05,150510105,34848.0,33852.0,26575.0
150510107,01.051.01.07,01.051.01.07,150510107,14638.0,13390.0,11560.0
1505105033,01.051.01.09,01.051.01.09,1505105032,5630.0,5314.0,12475.0
1505105033,01.051.01.09,01.051.01.09,1505105033,5630.0,5314.0,3987.0
1505107133,01.051.09.13.3,01.051.09.13.3,1505107133,2688.0,2474.0,1638.0
150510101,01.051.01.01,01.051.01.01,150510101,50225.0,56716.0,55357.0
1505105093,01.051.11.09.3,01.051.05.09.3,1505105093,2115.0,2171.0,2061.0
1505105093,01.051.11.09.Rur,01.051.05.09.Rur,1505105092,2608.0,3423.0,4267.0
1505105034,01.051.13.03.4,01.051.05.03.4,1505105033,3884.0,3350.0,3987.0
1505105034,01.051.13.03.Rur,01.051.05.03.Rur,1505105032,9946.0,9323.0,12475.0
1505105133,01.051.13.13.3,01.051.05.13.3,1505105133,1796.0,1831.0,1788.0
1505105133,01.051.13.13.Rur,01.051.05.13.Rur,1505105132,5187.0,6884.0,8310.0
01.051.11.01.3,01.051.11.01.3,01.051.05.01,150510501,3140.0,7685.0,6742.0
1615103173,01.151.09.17.3,01.151.09.17.3,1615103173,4471.0,3757.0,2984.0
1615103033,01.151.03.03.3,01.151.03.03.3,1615103033,5947.0,4977.0,5043.0
161510101,01.151.01.01,01.151.01.01,161510101,46168.0,42786.0,35709.0
1615105013,01.151.05.01.3,01.151.05.01.3,1615105013,6046.0,5905.0,4006.0
01.227.03.05.3,01.227.03.05.3,01.227.03.05,162270305,3763.0,16081.0,15035.0
GA16001,01.227.05.01,01.227.05.01,162270501,15491.0,8465.0,10501.0
1633105113,01.331.11.11.3,01.331.11.11.3,1633105113,7077.0,6242.0,4826.0
163310101,01.331.01.01,01.331.01.01,163310101,124701.0,126617.0,107380.0
1633107053,01.331.07.05.3,01.331.07.05.3,,9941.0,7793.0,
163310103,01.331.01.03,01.331.01.03,163310103,133731.0,125008.0,107371.0
1615109113,01.405.11.11.3,01.405.11.11.3,1615109113,4662.0,4438.0,3830.0
0548107033,01.405.13.03.3,01.405.07.03.3,0548107033,4852.0,3394.0,2321.0
1615109093,01.405.09.09.3,01.405.09.09.3,1615109093,2007.0,1634.0,1680.0
01.405.07.15.3,01.405.07.15.3,01.405.07.15,054810715,4112.0,19169.0,20782.0
054810109,01.405.01.09,01.405.01.09,054810109,57737.0,59606.0,57972.0
1615109053,01.405.09.05.3,01.405.09.05.3,1615109053,1156.0,1167.0,1510.0
GA16001,01.511.01.03,01.511.01.03,165110103,567465.0,386191.0,238382.0
GA16001,01.511.01.05,01.511.01.05,165110105,252656.0,201122.0,141987.0
GA16001,01.511.01.06,01.511.01.06,165110106,111772.0,117557.0,115839.0
GA16001,01.511.01.07,01.511.01.07,165110107,343535.0,243082.0,173477.0
GA16002,01.511.01.01,01.511.01.01,165110101,36039.0,31147.0,28217.0
GA16001,01.511.01.09,01.511.01.09,1651181032,88676.0,23601.0,15512.0
GA16001,01.511.01.09,01.511.01.09,1651181033,88676.0,23601.0,3187.0
GA16002,01.511.03.03,01.511.03.03,165110303,4981.0,4993.0,4132.0
GA16002,01.511.03.15,01.511.03.15,165110309,12838.0,12274.0,12946.0
1651103073,01.511.05.07.3,01.511.03.07.3,1651103073,1494.0,1283.0,1424.0
GA16001,01.511.05.17,01.511.03.17,162270507,19187.0,8013.0,20541.0
GA16001,01.511.05.19,01.511.81.05,,27204.0,9792.0,
1651103133,01.511.03.13.3,01.511.03.13.3,1651103133,1031.0,1058.0,1101.0
1651103133,01.511.03.13.Rur,01.511.03.13.Rur,1651103132,9585.0,9307.0,9794.0
1657103093,01.571.03.09.3,01.571.03.09.3,1657103093,1494.0,1091.0,1100.0
165710107,01.571.01.07,01.571.01.07,165710107,11690.0,9665.0,8383.0
GA16571,01.571.05.23,01.571.05.23,165710523,13492.0,10481.0,8486.0
1657105173,01.571.05.17.3,01.571.05.17.3,1657105173,4113.0,6430.0,4780.0
GA16571,01.571.05.07,01.571.05.07,165710507,22985.0,16128.0,12611.0
GA16571,01.571.03.17,01.571.03.17,165710317,7619.0,6670.0,6683.0
GA16571,01.571.03.15,01.571.03.15,165710315,10874.0,9177.0,9970.0
GA16571,01.571.01.11,01.571.01.11,165710111,422757.0,380787.0,320539.0
GA16571,01.573.01.01,01.573.01.01,165710101,77250.0,77436.0,53559.0
GA16571,01.573.01.09,01.573.03.05,,5208.0,5296.0,
GA16571,01.573.01.03,01.573.01.03,165710103,95896.0,64355.0,39011.0
GA16571,01.573.01.05,01.573.01.05,165710105,67599.0,56227.0,36596.0
0811303113,02.113.03.11.3,02.113.03.11.3,0811303113,6910.0,2452.0,2312.0
0811303113,02.113.03.11.Rur,02.113.03.11.Rur,0811303112,7749.0,12034.0,11668.0
081130129,02.113.01.29,02.113.01.29,081130129,31686.0,30202.0,22904.0
081130125,02.113.01.25,02.113.01.25,081130125,10514.0,8780.0,3338.0
081130109,02.113.01.09,02.113.01.09,081130109,99069.0,109237.0,80012.0
