id_oper,pop_1994,pop_2004,pop_2014,pop_2024
150510103,13128.0,15497.0,18271,20013
150510105,25547.0,26575.0,33852,34848
150510107,9593.0,11560.0,13390,14638
1505105033,,12475.0,5314,5630
1505107133,,1638.0,2474,2688
150510101,55216.0,55357.0,56716,50225
1505105093,,6328.0,5594,4723
1505105034,,16462.0,12673,13830
1505105133,,10098.0,8715,6983
01.051.11.01.3,7615.0,6742.0,7685,3140
1615103173,,2984.0,3757,4471
1615103033,,5043.0,4977,5947
161510101,31410.0,35709.0,42786,46168
1615105013,,4006.0,5905,6046
01.227.03.05.3,13415.0,15035.0,16081,3763
GA16001,514691.0,716239.0,997823,1425986
1633105113,,4826.0,6242,7077
163310101,107065.0,107380.0,126617,124701
1633107053,,,7793,9941
163310103,90400.0,107371.0,125008,133731
1615109113,,3830.0,4438,4662
0548107033,,2321.0,3394,4852
1615109093,,1680.0,1634,2007
01.405.07.15.3,19986.0,20782.0,19169,4112
054810109,52168.0,57972.0,59606,57737
1615109053,,1510.0,1167,1156
GA16002,43692.0,45295.0,48414,53858
1651103073,,1424.0,1283,1494
1651103133,,10895.0,10365,10616
1657103093,,1100.0,1091,1494
165710107,7575.0,8383.0,9665,11690
GA16571,385691.0,487455.0,626557,723680
1657105173,,4780.0,6430,4113
0811303113,,13980.0,14486,14659
081130129,16518.0,22904.0,30202,31686
081130125,2563.0,3338.0,8780,10514
081130109,77026.0,80012.0,109237,99069
081130107,7992.0,8969.0,9695,8630
081130105,3228.0,2983.0,2694,2391
081130101,20508.0,19482.0,19630,16310
0838109213,,3555.0,3137,2964
0838109293,,2126.0,2675,2876
083810307,,10674.0,9911,8518
0838109133,,2793.0,15021,15391
0838103093,,18164.0,14741,15661
0838109253,,2188.0,2585,2858
0838109033,,10445.0,14257,15002
0825103113,,7098.0,9079,12629
0825105073,,6254.0,8507,9262
0825103053,,3254.0,3329,4521
0825103033,,14931.0,16149,17557
082510101,19631.0,25947.0,28846,30068
082510103,14245.0,12577.0,10872,10449
155610103,59759.0,90173.0,122342,120650
0827503153,,2807.0,2638,2354
0827503213,,1997.0,1282,1407
082750103,10532.0,13526.0,16289,15488
082750117,59367.0,43916.0,43506,41014
082750135,4638.0,3429.0,3137,3066
0838107053,,5266.0,5387,4602
0838107173,,4050.0,4784,4586
083810105,112450.0,151687.0,174846,171965
0838107153,,5356.0,7580,7527
083810103,23897.0,31800.0,56582,50508
083810109,19012.0,20181.0,34025,31431
0838105193,,15666.0,21570,29628
0838105033,,4188.0,4444,4825
083810101,27049.0,36021.0,47599,46540
083810107,25920.0,29851.0,35806,36766
084110123,357278.0,400738.0,494252,506224
084110119,1641.0,1151.0,1088,1019
084110111,6663.0,8919.0,10934,10907
085330115,30789.0,34767.0,41832,40652
085330113,4477.0,4596.0,4960,4447
085330133,57956.0,80024.0,103398,100402
GA04001273,502475.0,700406.0,859725,1010597
0400105093,,17071.0,50946,78830
0416307273,,,6162,12359
0416305113,18775.0,22406.0,27699,36774
0416305213,,8999.0,10458,11496
0416307013,,,48560,78163
041630103,3638.0,4767.0,5668,6007
041630111,13885.0,25928.0,37933,50626
0427305273,,14902.0,27955,37128
0427305173,,9617.0,83235,107133
045410109,47126.0,66183.0,89387,100284
045410113,57136.0,69489.0,80149,83496
045410111,4963.0,5844.0,6727,7040
045410107,9211.0,15369.0,24288,30330
045410103,6525.0,9222.0,12313,13747
0454104073,,12762.0,17409,21502
045410101,4881.0,9984.0,14259,17339
045410105,4558.0,4624.0,4108,4127
035510103,7040.0,7089.0,6353,5908
035510101,6519.0,7102.0,6870,5575
035510105,9903.0,9630.0,8986,8660
035510107,12549.0,15239.0,18611,19544
045810105,3949.0,4931.0,6345,6124
045810107,43001.0,53682.0,74699,86595
1S2A35,9482.0,10020.0,9351,9648
1S2A15,,17071.0,50946,78830
1S2C45,8645.0,9353.0,8866,7246
1S2C65,5257.0,5348.0,5260,4861
1S2C55,16063.0,17442.0,18577,19790
1S2A39,9482.0,10020.0,9351,9648
1S2C29,6370.0,6351.0,5402,4087
1S2C49,8645.0,9353.0,8866,7246
1S2C69,5257.0,5348.0,5260,4861
1S2C59,16063.0,17442.0,18577,19790
1M2B25,3638.0,4767.0,5668,6007
1M2A45,12122.0,11414.0,10370,8706
1M2A35,,8999.0,10458,11496
1M2A49,12122.0,11414.0,10370,8706
1M2B39,3959.0,3151.0,2149,2095
1M1B79,3575.0,2988.0,2086,1635
1M1B49,10273.0,13854.0,17950,21659
1M1B59,10040.0,12074.0,14976,17673
1M5B29,6738.0,7012.0,6196,6840
1M5C49,6832.0,6725.0,6452,6045
1M5C39,7797.0,8490.0,8418,8251
1M5A29,4327.0,4002.0,3459,3031
1M5C29,10182.0,9927.0,9434,8797
1M3D35,10383.0,9867.0,6396,5492
1M3C69,12829.0,14632.0,10240,9950
1M3D69,4847.0,4281.0,3603,2782
