centre_id,pop_2024
01.051.01.01,50225.0
01.051.01.03,20013.0
01.051.01.05,34848.0
01.051.01.07,14638.0
01.051.01.09,5630.0
01.051.03.01,8401.0
01.051.03.03,7752.0
01.051.03.05,7214.0
01.051.03.07,8059.0
01.051.07.03,7580.0
01.051.07.05,5583.0
01.051.07.07,5401.0
01.051.07.11,6498.0
01.051.07.19,8462.0
01.051.07.21,2756.0
01.051.07.27,5601.0
01.051.09.01,24435.0
01.051.09.09,8909.0
01.051.09.13.3,2688.0
01.051.09.13.Rur,15146.0
01.051.09.15,16690.0
01.051.09.17,9357.0
01.051.09.23,4116.0
01.051.09.25,12856.0
01.051.11.01.3,3140.0
01.051.11.01.Rur,5129.0
01.051.11.07,4939.0
01.051.11.09.3,2115.0
01.051.11.09.Rur,2608.0
01.051.11.15,6365.0
01.051.11.21,6858.0
01.051.11.25,4150.0
01.051.13.03.4,3884.0
01.051.13.03.Rur,9946.0
01.051.13.05,3799.0
01.051.13.11,3306.0
01.051.13.13.3,1796.0
01.051.13.13.Rur,5187.0
01.051.13.17,4408.0
01.051.13.19,7721.0
01.051.13.23,3318.0
01.151.01.01,46168.0
01.151.03.03.3,5947.0
01.151.03.03.Rur,18796.0
01.151.03.13,19494.0
01.151.03.23,24258.0
01.151.05.01.3,6046.0
01.151.05.01.Rur,23849.0
01.151.05.03,13984.0
01.151.05.05,9260.0
01.151.05.07,10535.0
01.151.05.09,11276.0
01.151.05.11,6762.0
01.151.05.13,6454.0
01.151.05.15,8097.0
01.151.06.05,10800.0
01.151.06.07,10623.0
01.151.06.15,13526.0
01.151.06.21,12075.0
01.151.07.01,15888.0
01.151.07.07,11452.0
01.151.07.09,8007.0
01.151.07.11,6924.0
01.151.07.13,12292.0
01.151.09.01,8568.0
01.151.09.09,16539.0
01.151.09.11,13918.0
01.151.09.17.3,4471.0
01.151.09.17.Rur,5865.0
01.151.09.19,12766.0
01.151.11.03,16660.0
01.151.11.05,21413.0
01.227.03.05.3,3763.0
01.227.03.05.Rur,13488.0
01.227.03.11,10039.0
01.227.03.13,12703.0
01.227.03.21,9326.0
01.227.05.01,15491.0
01.227.05.05,17125.0
01.227.05.09,18854.0
01.331.01.01,124701.0
01.331.01.03,133731.0
01.331.07.01,9624.0
01.331.07.03,17182.0
01.331.07.05.3,9941.0
01.331.07.05.Rur,38312.0
01.331.07.11,13592.0
01.331.07.15,8657.0
01.331.07.17,25289.0
01.331.09.01,6925.0
01.331.09.03,7337.0
01.331.09.05,11311.0
01.331.09.13,5449.0
01.331.09.15,8615.0
01.331.11.03,13409.0
01.331.11.07,12961.0
01.331.11.09,19480.0
01.331.11.11.3,7077.0
01.331.11.11.Rur,11181.0
01.331.11.12,12582.0
01.331.11.13,12855.0
01.405.01.09,57737.0
01.405.07.01,13551.0
01.405.07.05,14594.0
01.405.07.07,6226.0
01.405.07.15.3,4112.0
01.405.07.15.Rur,13791.0
01.405.09.01,10368.0
01.405.09.03,11479.0
01.405.09.05.3,1156.0
01.405.09.05.Rur,7621.0
01.405.09.09.3,2007.0
01.405.09.09.Rur,7406.0
01.405.11.07,13999.0
01.405.11.11.3,4662.0
01.405.11.11.Rur,31911.0
01.405.13.03.3,4852.0
01.405.13.03.Rur,14310.0
01.405.13.09,12123.0
01.405.13.11,7913.0
01.405.13.13,9671.0
01.405.13.17,11673.0
01.405.13.19,13415.0
01.511.01.01,36039.0
01.511.01.03,567465.0
01.511.01.05,252656.0
01.511.01.06,111772.0
01.511.01.07,343535.0
01.511.01.09,88676.0
01.511.03.03,4981.0
01.511.03.11,5028.0
01.511.03.13.3,1031.0
01.511.03.13.Rur,9585.0
01.511.03.15,12838.0
01.511.05.01,2680.0
01.511.05.05,7265.0
01.511.05.07.3,1494.0
01.511.05.07.Rur,2977.0
01.511.05.17,19187.0
01.511.05.19,27204.0
01.571.01.07,11690.0
01.571.01.11,422757.0
01.571.03.01,7450.0
01.571.03.03,2099.0
01.571.03.05,6238.0
01.571.03.07,6423.0
01.571.03.09.3,1494.0
01.571.03.09.Rur,2632.0
01.571.03.11,4659.0
01.571.03.15,10874.0
01.571.03.17,7619.0
01.571.03.19,8699.0
01.571.03.21,8733.0
01.571.05.01,11877.0
01.571.05.05,10875.0
01.571.05.07,22985.0
01.571.05.13,5004.0
01.571.05.15,10465.0
01.571.05.17.3,4113.0
01.571.05.17.Rur,6002.0
01.571.05.19,4683.0
01.571.05.23,13492.0
01.571.05.25,12851.0
01.571.05.27,8214.0
01.573.01.01,77250.0
01.573.01.03,95896.0
01.573.01.05,67599.0
01.573.01.07,8111.0
01.573.01.09,5208.0
02.113.01.01,16310.0
02.113.01.05,2391.0
02.113.01.07,8630.0
02.113.01.09,99069.0
02.113.01.25,10514.0
02.113.01.29,31686.0
