id_centre_desservi,annee,type_consommation,consommation,dotation
01.051.11.01.3,2004,Administrative,,
01.051.11.01.3,2004,Autres,,
01.051.11.01.3,2004,Bornes Fontaines,,
01.051.11.01.3,2004,Industrielle,,
01.051.11.01.3,2004,Population branchée,,
01.051.11.01.3,2012,Administrative,22746.0,8.32413899261286
01.051.11.01.3,2012,Autres,,
01.051.11.01.3,2012,Bornes Fontaines,10816.0,9.16757930614645
01.051.11.01.3,2012,Industrielle,7902.0,2.89182037807205
01.051.11.01.3,2012,Population branchée,77105.0,49.6578578835639
01.051.11.01.3,2013,Administrative,27933.0,10.0894236316291
01.051.11.01.3,2013,Autres,,
01.051.11.01.3,2013,Bornes Fontaines,10610.0,10.1836846766862
01.051.11.01.3,2013,Industrielle,2503.0,0.90408575340879
01.051.11.01.3,2013,Population branchée,90080.0,52.16947814422
01.051.11.01.3,2014,Administrative,33111.0,11.8041728683345
01.051.11.01.3,2014,Autres,,
01.051.11.01.3,2014,Bornes Fontaines,12517.0,11.8601113032218
01.051.11.01.3,2014,Industrielle,8281.0,2.9522018520334
01.051.11.01.3,2014,Population branchée,104894.0,59.9518089798815
01.051.11.01.3,2015,Administrative,23517.0,8.32270058500197
01.051.11.01.3,2015,Autres,150.0,
01.051.11.01.3,2015,Bornes Fontaines,11575.0,11.5382583665331
01.051.11.01.3,2015,Industrielle,8224.0,2.91048558961841
01.051.11.01.3,2015,Population branchée,100335.0,55.054676245287
01.051.11.01.3,2016,Administrative,24975.0,8.77418802049738
01.051.11.01.3,2016,Autres,560.0,
01.051.11.01.3,2016,Bornes Fontaines,11935.0,12.8086640554068
01.051.11.01.3,2016,Industrielle,7456.0,2.61943326850164
01.051.11.01.3,2016,Population branchée,107609.0,56.2036638412281
01.051.11.01.3,2017,Administrative,29422.0,10.2610716182559
01.051.11.01.3,2017,Autres,2945.0,
01.051.11.01.3,2017,Bornes Fontaines,12613.0,17.5317020575443
01.051.11.01.3,2017,Industrielle,6182.0,2.15600383196444
01.051.11.01.3,2017,Population branchée,110857.0,51.6117520152504
01.051.11.01.3,2018,Administrative,25143.0,8.70475818432613
01.051.11.01.3,2018,Autres,11800.0,
01.051.11.01.3,2018,Bornes Fontaines,9440.0,14.4635853056914
01.051.11.01.3,2018,Industrielle,10964.0,3.79584650729634
01.051.11.01.3,2018,Population branchée,121624.0,54.3997226727271
01.051.11.01.3,2019,Administrative,28016.0,9.62863740583807
01.051.11.01.3,2019,Autres,2310.0,
01.051.11.01.3,2019,Bornes Fontaines,7510.0,12.9594966412576
01.051.11.01.3,2019,Industrielle,18979.0,6.52276946478443
01.051.11.01.3,2019,Population branchée,134186.0,57.5867063811008
01.051.11.01.3,2020,Administrative,22307.0,7.61060108924165
01.051.11.01.3,2020,Autres,9100.0,
01.051.11.01.3,2020,Bornes Fontaines,8110.0,25.4067057701674
01.051.11.01.3,2020,Industrielle,24635.0,8.40485757087318
01.051.11.01.3,2020,Population branchée,149655.0,57.2987724362226
01.051.11.01.3,2021,Administrative,36977.0,12.5235816885548
01.051.11.01.3,2021,Autres,7520.0,
01.051.11.01.3,2021,Bornes Fontaines,5081.0,30.1461040480495
01.051.11.01.3,2021,Industrielle,25258.0,8.55452379288523
01.051.11.01.3,2021,Population branchée,157375.0,56.5274828409794
01.051.11.01.3,2022,Administrative,48262.0,16.2263665715961
01.051.11.01.3,2022,Autres,0.0,
01.051.11.01.3,2022,Bornes Fontaines,5818.0,53.5282637661629
01.051.11.01.3,2022,Industrielle,25579.0,8.60002135292482
01.051.11.01.3,2022,Population branchée,174760.0,60.985382995813
01.051.11.01.3,2023,Administrative,59478.0,19.8514124249946
01.051.11.01.3,2023,Autres,6075.0,
01.051.11.01.3,2023,Bornes Fontaines,3014.0,44.7198797947984
01.051.11.01.3,2023,Industrielle,27440.0,9.15839061403969
01.051.11.01.3,2023,Population branchée,189343.0,64.6494940649542
01.227.03.05.3,2004,Administrative,,
01.227.03.05.3,2004,Autres,,
01.227.03.05.3,2004,Bornes Fontaines,,
01.227.03.05.3,2004,Industrielle,,
01.227.03.05.3,2004,Population branchée,,
01.227.03.05.3,2012,Administrative,,
01.227.03.05.3,2012,Autres,,
01.227.03.05.3,2012,Bornes Fontaines,,
01.227.03.05.3,2012,Industrielle,,
01.227.03.05.3,2012,Population branchée,,
01.227.03.05.3,2013,Administrative,5577.0,0.956567651314065
01.227.03.05.3,2013,Autres,,
01.227.03.05.3,2013,Bornes Fontaines,175.0,0.0347116977022603
01.227.03.05.3,2013,Industrielle,320.0,0.0548864350762957
01.227.03.05.3,2013,Population branchée,35091.0,44.4926516077318
01.227.03.05.3,2014,Administrative,10057.0,1.71341487827463
01.227.03.05.3,2014,Autres,,
01.227.03.05.3,2014,Bornes Fontaines,2191.0,0.434186742909342
01.227.03.05.3,2014,Industrielle,4563.0,0.777400028792594
01.227.03.05.3,2014,Population branchée,52650.0,63.9461357017087
01.227.03.05.3,2015,Administrative,9422.0,1.59399539054698
01.227.03.05.3,2015,Autres,12878.0,
01.227.03.05.3,2015,Bornes Fontaines,7783.0,1.55165452905809
01.227.03.05.3,2015,Industrielle,1375.0,0.232619790066026
01.227.03.05.3,2015,Population branchée,51995.0,58.0951728711346
01.227.03.05.3,2016,Administrative,2194.0,0.368578893734996
01.227.03.05.3,2016,Autres,38841.0,
01.227.03.05.3,2016,Bornes Fontaines,16108.0,3.24073475702123
01.227.03.05.3,2016,Industrielle,3272.0,0.549676454102509
01.227.03.05.3,2016,Population branchée,57995.0,59.051137649217
01.227.03.05.3,2017,Administrative,16072.0,2.68110387522494
01.227.03.05.3,2017,Autres,50937.0,
01.227.03.05.3,2017,Bornes Fontaines,19999.0,4.00537883132381
01.227.03.05.3,2017,Industrielle,1234.0,0.205853794302363
01.227.03.05.3,2017,Population branchée,79947.0,79.8264633294806
01.227.03.05.3,2018,Administrative,33881.0,5.612415487445
01.227.03.05.3,2018,Autres,59961.0,
01.227.03.05.3,2018,Bornes Fontaines,36830.0,7.40762826477759
01.227.03.05.3,2018,Industrielle,2034.0,0.336933771183352
01.227.03.05.3,2018,Population branchée,81943.0,76.9495202681047
01.227.03.05.3,2019,Administrative,30198.0,4.96731444318052
01.227.03.05.3,2019,Autres,60502.0,
01.227.03.05.3,2019,Bornes Fontaines,80892.0,16.3589397674373
01.227.03.05.3,2019,Industrielle,1195.0,0.196567347493235
01.227.03.05.3,2019,Population branchée,68549.0,60.4210355413656
01.227.03.05.3,2020,Administrative,44409.0,7.25377939545136
01.227.03.05.3,2020,Autres,0.0,
01.227.03.05.3,2020,Bornes Fontaines,81100.0,17.9113730821284
