id_centre_desservi,annee,distribution,production,cons_pop_branchee,cons_bf,cons_administrative,cons_industrielle,cons_autres,dot_pop_branchee,dot_bf,dot_administrative,dot_industrielle,dot_globale_nette,dot_globale_brute,rend_distribution,rend_adduction,taux_branchement,nbre_abonnes_particuliers,nbre_bf,abon_administratifs,abon_industrielle,autres_abonnes,dr,kp,regie,organisme_distributeur,consommation_totale,lib_centre_uniformise,milieu,code_commune,lib_commune,lib_province,code_region_12,libelle_region,srm,id_dr_admin,type_centre,sa_centre,population_2024,menages_2024,mappable,systeme_aep,n_installations_centre,capacite_equipee_centre,capacite_exploitable_centre,population_interp,pop_multi_ancre,dr_volume_produit_traite,dr_debit_exploitable,dr_n_installations
01.051.11.01.3,2004,,,,,,,,,,,,,,,,,,,,,,DR9,,,,,Ait Kamra,Urbain,01.051.11.01,Ait Kamra,Al Hoceima,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR5,CU,URB,3140.0,625.0,True,,,,,6742.0,1,,,
01.051.11.01.3,2012,148693.135497565,151762.475340496,77105.0,10816.0,22746.0,7902.0,,49.6578578835639,9.16757930614645,8.32413899261286,2.89182037807205,43.3915781330834,55.5390810954572,0.797407355781676,0.979775370452779,0.56823613629283,971.0,27.0,28.0,3.0,,DR9,1.5,,ONEE,118569.0,Ait Kamra,Urbain,01.051.11.01,Ait Kamra,Al Hoceima,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR5,CU,URB,3140.0,625.0,True,,,,,4966.4390285505315,1,114062951.0,87012.0,136.0
01.051.11.01.3,2013,171779.176036537,199898.92694538,90080.0,10610.0,27933.0,2503.0,,52.16947814422,10.1836846766862,10.0894236316291,0.90408575340879,47.3628240117783,72.2036643919385,0.763340487627613,0.859330155801558,0.623678339443616,1101.0,27.0,29.0,4.0,,DR9,1.5,,ONEE,131126.0,Ait Kamra,Urbain,01.051.11.01,Ait Kamra,Al Hoceima,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR5,CU,URB,3140.0,625.0,True,,,,,4780.266983396393,1,116481140.0,87012.0,136.0
01.051.11.01.3,2014,201727.332746318,212100.318603973,104894.0,12517.0,33111.0,8281.0,,59.9518089798815,11.8601113032218,11.8041728683345,2.9522018520334,56.6137556706268,75.6144129210875,0.787216079437795,0.951093963809533,0.623751522533496,1138.0,27.0,29.0,6.0,,DR9,1.5,,ONEE,158803.0,Ait Kamra,Urbain,01.051.11.01,Ait Kamra,Al Hoceima,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR5,CU,URB,3140.0,625.0,True,,,,,4601.073787715211,1,119460376.0,86520.0,136.0
01.051.11.01.3,2015,208107.937338192,218189.115914653,100335.0,11575.0,23517.0,8224.0,150.0,55.054676245287,11.5382583665331,8.32270058500197,2.91048558961841,50.8913835448343,77.2174462160965,0.690992385198226,0.953796143615136,0.644971602745402,1197.0,27.0,28.0,11.0,,DR9,1.5,,ONEE,143801.0,Ait Kamra,Urbain,01.051.11.01,Ait Kamra,Al Hoceima,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR5,CU,URB,3140.0,625.0,True,,,,,4428.59783219864,1,124695764.0,83314.08,136.0
01.051.11.01.3,2016,223346.405642524,238144.239178654,107609.0,11935.0,24975.0,7456.0,560.0,56.2036638412281,12.8086640554068,8.77418802049738,2.61943326850164,53.5884192074702,83.664557779852,0.682952562237061,0.937861887454568,0.672644209169743,1270.0,27.0,28.0,8.0,,DR9,1.5,,ONEE,152535.0,Ait Kamra,Urbain,01.051.11.01,Ait Kamra,Al Hoceima,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR5,CU,URB,3140.0,625.0,True,,,,,4262.587314230754,1,126340269.0,84338.16,136.0
01.051.11.01.3,2017,248044.0,267805.634827957,110857.0,12613.0,29422.0,6182.0,2945.0,51.6117520152504,17.5317020575443,10.2610716182559,2.15600383196444,56.5049474039221,93.3985724540188,0.653186531421844,0.926209040221831,0.749091807430531,1439.0,27.0,29.0,8.0,,DR9,1.5,,ONEE,162019.0,Ait Kamra,Urbain,01.051.11.01,Ait Kamra,Al Hoceima,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR5,CU,URB,3140.0,625.0,True,,,,,4102.799870274145,1,133748014.0,86733.72,136.0
01.051.11.01.3,2018,273186.0,295379.97977231,121624.0,9440.0,25143.0,10964.0,11800.0,54.3997226727271,14.4635853056914,8.70475818432613,3.79584650729634,61.9615510085126,102.263504609995,0.655125079616086,0.924862951817459,0.774037875888485,1513.0,25.0,28.0,12.0,,DR9,1.5,,ONEE,178971.0,Ait Kamra,Urbain,01.051.11.01,Ait Kamra,Al Hoceima,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR5,CU,URB,3140.0,625.0,True,,,,,3949.002222036431,1,130017891.0,86493.84,136.0
01.051.11.01.3,2019,307434.0,334097.733658003,134186.0,7510.0,28016.0,18979.0,2310.0,57.5867063811008,12.9594966412576,9.62863740583807,6.52276946478443,65.6438953866532,114.823884048586,0.621274810203166,0.920191815233032,0.80083615263819,1593.0,24.0,39.0,16.0,,DR9,1.5,,ONEE,191001.0,Ait Kamra,Urbain,01.051.11.01,Ait Kamra,Al Hoceima,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR5,CU,URB,3140.0,625.0,True,,,,,3800.9698359005383,1,136792656.0,88773.84,136.0
01.051.11.01.3,2020,349001.0,380441.733644623,149655.0,8110.0,22307.0,24635.0,9100.0,57.2987724362226,25.4067057701674,7.61060108924165,8.40485757087318,72.9457025636567,129.797385236417,0.612625751788677,0.917357295837601,0.891094381023462,1804.0,24.0,39.0,21.0,0.0,DR9,1.5,,ONEE,213807.0,Ait Kamra,Urbain,01.051.11.01,Ait Kamra,Al Hoceima,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR5,CU,URB,3140.0,625.0,True,,,,,3658.4865951216175,1,131950405.0,88905.84,136.0
01.051.11.01.3,2021,401488.0,443605.314457611,157375.0,5081.0,36977.0,25258.0,7520.0,56.5274828409794,30.1461040480495,12.5235816885548,8.55452379288523,78.6465485972631,150.242783164857,0.578375941497629,0.905056785649408,0.942915936471951,1943.0,18.0,41.0,22.0,0.0,DR9,1.5,,ONEE,232211.0,Ait Kamra,Urbain,01.051.11.01,Ait Kamra,Al Hoceima,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR5,CU,URB,3140.0,625.0,True,,,,,3521.3444843119787,1,139331058.0,107745.84,139.0
01.051.11.01.3,2022,418751.0,537488.209520219,174760.0,5818.0,48262.0,25579.0,0.0,60.985382995813,53.5282637661629,16.2263665715961,8.60002135292482,85.5392639504977,180.711133305415,0.607566310289408,0.779088717822838,0.963456803968912,2021.0,17.0,41.0,24.0,0.0,DR9,1.5,,ONEE,254419.0,Ait Kamra,Urbain,01.051.11.01,Ait Kamra,Al Hoceima,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR5,CU,URB,3140.0,625.0,True,,,,,3389.343285753433,1,136328721.0,111057.84,147.0
01.051.11.01.3,2023,570175.0,755289.188237318,189343.0,3014.0,59478.0,27440.0,6075.0,64.6494940649542,44.7198797947984,19.8514124249946,9.15839061403969,95.2385846106497,252.085765759414,0.500460384969527,0.754909521915262,0.977505431017249,2111.0,15.0,43.0,25.0,0.0,DR9,1.5,,ONEE,285350.0,Ait Kamra,Urbain,01.051.11.01,Ait Kamra,Al Hoceima,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR5,CU,URB,3140.0,625.0,True,,,,,3262.2902870936828,1,145098537.0,108795.84,149.0
01.227.03.05.3,2004,,,,,,,,,,,,,,,,,,,,,,DR9,,,,,Anjra,Urbain,01.227.03.05,Anjra,Fahs-Anjra,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,3763.0,899.0,True,,,,,15035.0,1,,,
01.227.03.05.3,2012,,,,,,,,,,,,,,,0.964906483378494,,,,,,,DR9,1.5,,ONEE,,Anjra,Urbain,01.227.03.05,Anjra,Fahs-Anjra,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,3763.0,899.0,True,,,,,8639.244134091432,1,114062951.0,87012.0,136.0
01.227.03.05.3,2013,69535.0,72030.0,35091.0,175.0,5577.0,320.0,,44.4926516077318,0.0347116977022603,0.956567651314065,0.0548864350762957,7.06028227201737,12.3545934954549,0.591975264255411,0.965361654866028,0.135276544529406,426.0,2.0,5.0,1.0,,DR9,1.5,,ONEE,41163.0,Anjra,Urbain,01.227.03.05,Anjra,Fahs-Anjra,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,3763.0,899.0,True,,,,,8061.155264141319,1,116481140.0,87012.0,136.0
