id_dr,annee,dr_volume_produit_traite_total,dr_debit_exploitable_total,dr_taux_utilisation_mean,dr_n_installations_actives
DR1,2012,59583344,39559.2,0.0,175
DR1,2013,60549168,39559.2,0.0,175
DR1,2014,62432536,39559.2,23.967476722532588,175
DR1,2015,64290691,39992.4,13.197407407407407,175
DR1,2016,67750318,39992.4,26.481981481481483,175
DR1,2017,70997527,39992.4,32.031893518518515,175
DR1,2018,71008490,39992.4,35.97677314814815,175
DR1,2019,75037651,40287.6,37.419673112338856,175
DR1,2020,72126341,40287.6,40.29801115241636,175
DR1,2021,75032464,44001.6,38.836135578583765,186
DR1,2022,54048827,46412.16,37.07116500994036,202
DR1,2023,45521963,46227.36,36.538498427672955,205
DR6,2012,54526832,29863.68,1.362581300813008,122
DR6,2013,56052385,29863.68,1.3854200542005422,122
DR6,2014,62501412,29863.68,2.834329268292683,122
DR6,2015,65711822,29863.68,28.17329945799458,122
DR6,2016,68681181,29863.68,18.5754945799458,122
DR6,2017,69672052,29863.68,23.921029810298105,122
DR6,2018,69839585,29863.68,104.91560975609757,122
DR6,2019,74402317,29863.68,182.62586043360434,122
DR6,2020,78735192,30655.68,209.47513175230566,122
DR6,2021,82396565,32635.68,62.3385498489426,132
DR6,2022,82367498,34740.48,40.802912457912456,144
DR6,2023,86662377,35466.48,40.09503282275711,148
DR9,2012,114062951,16341.84,0.0,136
DR9,2013,116481140,16341.84,0.0,136
DR9,2014,119460376,16341.84,0.9508884803921568,136
DR9,2015,124695764,16341.84,8.909136029411766,136
DR9,2016,126340269,16341.84,12.005226715686273,136
DR9,2017,133748014,16341.84,13.14908088235294,136
DR9,2018,130017891,16341.84,13.789325980392157,136
DR9,2019,136792656,16341.84,13.635183823529411,136
DR9,2020,131950405,16341.84,12.636219362745098,136
DR9,2021,139331058,17106.36,10.77263986013986,139
DR9,2022,136328721,19026.36,12.922317880794703,147
DR9,2023,145098537,19206.36,8.774057734204794,149
,2012,0,0.0,0.0,1
,2013,0,0.0,0.0,1
,2014,0,0.0,0.0,1
,2015,0,0.0,0.0,1
,2016,0,0.0,0.0,1
,2017,0,0.0,0.0,1
,2018,0,0.0,0.0,1
,2019,0,0.0,0.0,1
,2020,0,0.0,0.0,1
