id_centre_desservi,annee,production,distribution,cons_pop_branchee,cons_bf,cons_administrative,cons_industrielle,cons_autres,nbre_abonnes_particuliers,nbre_bf,abon_administratifs,abon_industrielle,autres_abonnes,taux_branchement,rend_distribution,rend_adduction,organisme_distributeur,dot_pop_branchee,dot_bf,dot_administrative,dot_industrielle,dot_globale_nette,dot_globale_brute,dr,kp,regie,cons_totale_calc,production_implied,lib_centre_uniformise,milieu,code_commune,lib_commune,lib_province,id_province,code_region_12,libelle_region,srm,id_dr_admin,type_centre,sa_centre,population_2024,menages_2024,mappable_on_map,id_dr,dr_volume_produit_traite_total,dr_debit_exploitable_total,dr_taux_utilisation_mean,dr_n_installations_actives
01.051.11.01.3,2004,,,,,,,,,,,,,,,,,,,,,,,DR9,,,,,Ait Kamra,Urbain,01.051.11.01,Ait Kamra,Al Hoceima,1.051,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR5,CU,URB,3140.0,625.0,True,,,,,
01.051.11.01.3,2012,151762.475340496,148693.135497565,77105.0,10816.0,22746.0,7902.0,,971.0,27.0,28.0,3.0,,0.56823613629283,0.797407355781676,0.979775370452779,ONEE,49.6578578835639,9.16757930614645,8.32413899261286,2.89182037807205,43.3915781330834,55.5390810954572,DR9,1.5,,118569.0,151762.4753404958,Ait Kamra,Urbain,01.051.11.01,Ait Kamra,Al Hoceima,1.051,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR5,CU,URB,3140.0,625.0,True,DR9,114062951.0,16341.84,0.0,136.0
01.051.11.01.3,2013,199898.92694538,171779.176036537,90080.0,10610.0,27933.0,2503.0,,1101.0,27.0,29.0,4.0,,0.623678339443616,0.763340487627613,0.859330155801558,ONEE,52.16947814422,10.1836846766862,10.0894236316291,0.90408575340879,47.3628240117783,72.2036643919385,DR9,1.5,,131126.0,199898.92694537924,Ait Kamra,Urbain,01.051.11.01,Ait Kamra,Al Hoceima,1.051,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR5,CU,URB,3140.0,625.0,True,DR9,116481140.0,16341.84,0.0,136.0
01.051.11.01.3,2014,212100.318603973,201727.332746318,104894.0,12517.0,33111.0,8281.0,,1138.0,27.0,29.0,6.0,,0.623751522533496,0.787216079437795,0.951093963809533,ONEE,59.9518089798815,11.8601113032218,11.8041728683345,2.9522018520334,56.6137556706268,75.6144129210875,DR9,1.5,,158803.0,212100.3186039735,Ait Kamra,Urbain,01.051.11.01,Ait Kamra,Al Hoceima,1.051,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR5,CU,URB,3140.0,625.0,True,DR9,119460376.0,16341.84,0.9508884803921568,136.0
01.051.11.01.3,2015,218189.115914653,208107.937338192,100335.0,11575.0,23517.0,8224.0,150.0,1197.0,27.0,28.0,11.0,,0.644971602745402,0.690992385198226,0.953796143615136,ONEE,55.054676245287,11.5382583665331,8.32270058500197,2.91048558961841,50.8913835448343,77.2174462160965,DR9,1.5,,143801.0,218189.11591465306,Ait Kamra,Urbain,01.051.11.01,Ait Kamra,Al Hoceima,1.051,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR5,CU,URB,3140.0,625.0,True,DR9,124695764.0,16341.84,8.909136029411766,136.0
01.051.11.01.3,2016,238144.239178654,223346.405642524,107609.0,11935.0,24975.0,7456.0,560.0,1270.0,27.0,28.0,8.0,,0.672644209169743,0.682952562237061,0.937861887454568,ONEE,56.2036638412281,12.8086640554068,8.77418802049738,2.61943326850164,53.5884192074702,83.664557779852,DR9,1.5,,152535.0,238144.23917865346,Ait Kamra,Urbain,01.051.11.01,Ait Kamra,Al Hoceima,1.051,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR5,CU,URB,3140.0,625.0,True,DR9,126340269.0,16341.84,12.005226715686273,136.0
01.051.11.01.3,2017,267805.634827957,248044.0,110857.0,12613.0,29422.0,6182.0,2945.0,1439.0,27.0,29.0,8.0,,0.749091807430531,0.653186531421844,0.926209040221831,ONEE,51.6117520152504,17.5317020575443,10.2610716182559,2.15600383196444,56.5049474039221,93.3985724540188,DR9,1.5,,162019.0,267805.6348279568,Ait Kamra,Urbain,01.051.11.01,Ait Kamra,Al Hoceima,1.051,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR5,CU,URB,3140.0,625.0,True,DR9,133748014.0,16341.84,13.14908088235294,136.0
01.051.11.01.3,2018,295379.97977231,273186.0,121624.0,9440.0,25143.0,10964.0,11800.0,1513.0,25.0,28.0,12.0,,0.774037875888485,0.655125079616086,0.924862951817459,ONEE,54.3997226727271,14.4635853056914,8.70475818432613,3.79584650729634,61.9615510085126,102.263504609995,DR9,1.5,,178971.0,295379.97977231006,Ait Kamra,Urbain,01.051.11.01,Ait Kamra,Al Hoceima,1.051,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR5,CU,URB,3140.0,625.0,True,DR9,130017891.0,16341.84,13.789325980392157,136.0
01.051.11.01.3,2019,334097.733658003,307434.0,134186.0,7510.0,28016.0,18979.0,2310.0,1593.0,24.0,39.0,16.0,,0.80083615263819,0.621274810203166,0.920191815233032,ONEE,57.5867063811008,12.9594966412576,9.62863740583807,6.52276946478443,65.6438953866532,114.823884048586,DR9,1.5,,191001.0,334097.7336580032,Ait Kamra,Urbain,01.051.11.01,Ait Kamra,Al Hoceima,1.051,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR5,CU,URB,3140.0,625.0,True,DR9,136792656.0,16341.84,13.635183823529411,136.0
01.051.11.01.3,2020,380441.733644623,349001.0,149655.0,8110.0,22307.0,24635.0,9100.0,1804.0,24.0,39.0,21.0,0.0,0.891094381023462,0.612625751788677,0.917357295837601,ONEE,57.2987724362226,25.4067057701674,7.61060108924165,8.40485757087318,72.9457025636567,129.797385236417,DR9,1.5,,213807.0,380441.7336446228,Ait Kamra,Urbain,01.051.11.01,Ait Kamra,Al Hoceima,1.051,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR5,CU,URB,3140.0,625.0,True,DR9,131950405.0,16341.84,12.636219362745098,136.0
