id_centre_desservi,lib_centre_desservi,milieu,id_centre_2024,lib_centre_uniformise,code_commune,type_centre,sa_centre,population_2024,menages_2024,prov_key,id_province,lib_province,code_region_12,id_dr_admin,libelle_region,srm,lib_commune,mappable_on_map
01.051.11.01.3,AIT KAMRA,Urbain,01.051.11.01.3,Ait Kamra,01.051.11.01,CU,URB,3140.0,625.0,1.051,1.051,Al Hoceima,01,DR5,Tanger-Tetouan-Al Hoceima,SRM TTA,Ait Kamra,True
01.227.03.05.3,ANJRA,Urbain,01.227.03.05.3,Anjra,01.227.03.05,CU,URB,3763.0,899.0,1.227,1.227,Fahs-Anjra,01,DR9,Tanger-Tetouan-Al Hoceima,SRM TTA,Anjra,True
01.405.07.15.3,SIDI REDOUANE,Urbain,01.405.07.15.3,Sidi Redouane,01.405.07.15,CU,URB,4112.0,1124.0,1.405,1.405,Ouezzane,01,DR9,Tanger-Tetouan-Al Hoceima,SRM TTA,Sidi Redouane,True
035510101,AKKA,Urbain,09.551.01.01,Akka,09.551.01.01,Commune,URB,5575.0,1337.0,9.551,9.551,Tata,09,DR1,Souss-Massa,SRM SM,Akka,True
035510103,FOUM EL HISSEN,Urbain,09.551.01.03,Fam El Hisn,09.551.01.03,Commune,URB,5908.0,1294.0,9.551,9.551,Tata,09,DR1,Souss-Massa,SRM SM,Fam El Hisn,True
035510105,FOUM ZGUID,Urbain,09.551.01.05,Foum Zguid,09.551.01.05,Commune,URB,8660.0,1902.0,9.551,9.551,Tata,09,DR1,Souss-Massa,SRM SM,Foum Zguid,True
035510107,TATA,Urbain,09.551.01.07,Tata,09.551.01.07,Commune,URB,19544.0,4218.0,9.551,9.551,Tata,09,DR1,Souss-Massa,SRM SM,Tata,True
0400105093,DRARGUA,Urbain,09.001.05.09.3,Drargua,09.001.05.09,CU,URB,78830.0,18648.0,9.001,9.001,Agadir-Ida -Ou-Tanane,09,DR1,Souss-Massa,SRM SM,Drargua,True
041630103,AIT BAHA,Urbain,09.163.01.03,Ait Baha,09.163.01.03,Commune,URB,6007.0,1611.0,9.163,9.163,Chtouka- Ait Baha,09,DR1,Souss-Massa,SRM SM,Ait Baha,True
041630111,BIOUGRA,Urbain,09.163.01.11,Biougra,09.163.01.11,Commune,URB,50626.0,13774.0,9.163,9.163,Chtouka- Ait Baha,09,DR1,Souss-Massa,SRM SM,Biougra,True
0416305113,BELFAA,Urbain,09.163.05.11.3,Belfaa,09.163.05.11,CU,URB,13492.0,3649.0,9.163,9.163,Chtouka- Ait Baha,09,DR1,Souss-Massa,SRM SM,Belfaa,True
0416305213,MASSA,Urbain,09.163.05.21.3,Massa,09.163.05.21,CU,URB,11496.0,3198.0,9.163,9.163,Chtouka- Ait Baha,09,DR1,Souss-Massa,SRM SM,Massa,True
0416307013,AIT AMIRA,Urbain,09.163.01.01.3,Ait Amira,09.163.01.01,CU,URB,78163.0,21308.0,9.163,9.163,Chtouka- Ait Baha,09,DR1,Souss-Massa,SRM SM,Ait Amira,True
0416307273,SIDI BIBI,Urbain,09.163.01.27.3,Sidi Bibi,09.163.01.27,CU,URB,12359.0,3008.0,9.163,9.163,Chtouka- Ait Baha,09,DR1,Souss-Massa,SRM SM,Sidi Bibi,True
0427305173,LQLIAA,Urbain,09.273.01.17,Lqliaa,09.273.01.17,Commune,URB,107133.0,25615.0,9.273,9.273,Inezgane- Ait Melloul,09,DR1,Souss-Massa,SRM SM,Lqliaa,True
0427305273,TEMSIA,Urbain,09.273.05.27.3,Temsia,09.273.05.27,CU,URB,37128.0,8861.0,9.273,9.273,Inezgane- Ait Melloul,09,DR1,Souss-Massa,SRM SM,Temsia,True
045410101,AIT IAZZA,Urbain,09.541.01.01,Ait Iaaza,09.541.01.01,Commune,URB,17339.0,4145.0,9.541,9.541,Taroudannt,09,DR1,Souss-Massa,SRM SM,Ait Iaaza,True
045410103,EL GUERDANE,Urbain,09.541.01.03,El Guerdane,09.541.01.03,Commune,URB,13747.0,3292.0,9.541,9.541,Taroudannt,09,DR1,Souss-Massa,SRM SM,El Guerdane,True
045410105,IGHERM,Urbain,09.541.01.05,Irherm,09.541.01.05,Commune,URB,4127.0,1310.0,9.541,9.541,Taroudannt,09,DR1,Souss-Massa,SRM SM,Irherm,True
045410107,OULAD BERHIL,Urbain,09.541.01.07,Oulad Berhil,09.541.01.07,Commune,URB,30330.0,7068.0,9.541,9.541,Taroudannt,09,DR1,Souss-Massa,SRM SM,Oulad Berhil,True
045410109,OULAD TEIMA,Urbain,09.541.01.09,Oulad Teima,09.541.01.09,Commune,URB,100284.0,24494.0,9.541,9.541,Taroudannt,09,DR1,Souss-Massa,SRM SM,Oulad Teima,True
045410111,TALIOUINE,Urbain,09.541.01.11,Taliouine,09.541.01.11,Commune,URB,7040.0,1753.0,9.541,9.541,Taroudannt,09,DR1,Souss-Massa,SRM SM,Taliouine,True
045410113,TAROUDANNT,Urbain,09.541.01.13,Taroudannt,09.541.01.13,Commune,URB,83496.0,21821.0,9.541,9.541,Taroudannt,09,DR1,Souss-Massa,SRM SM,Taroudannt,True
0454104073,AOULOUZ,Urbain,09.541.01.02,Aoulouz,09.541.01.02,Commune,URB,21502.0,4605.0,9.541,9.541,Taroudannt,09,DR1,Souss-Massa,SRM SM,Aoulouz,True
045810105,TAFRAOUT,Urbain,09.581.01.05,Tafraout,09.581.01.05,Commune,URB,6124.0,1849.0,9.581,9.581,Tiznit,09,DR1,Souss-Massa,SRM SM,Tafraout,True
045810107,TIZNIT,Urbain,09.581.01.07,Tiznit,09.581.01.07,Commune,URB,86595.0,23860.0,9.581,9.581,Tiznit,09,DR1,Souss-Massa,SRM SM,Tiznit,True
054810109,OUEZZANE,Urbain,01.405.01.09,Ouezzane,01.405.01.09,Commune,URB,57737.0,16266.0,1.405,1.405,Ouezzane,01,DR9,Tanger-Tetouan-Al Hoceima,SRM TTA,Ouezzane,True
